FID,gemeindeschluessel,strassenschluessel,strasse
strassennamen.fid--3213a59_187b3d87864_3ac7,5334002,1328,Grüner Winkel
strassennamen.fid--3213a59_187b3d87864_3ac8,5334002,1329,Gut Steeg
strassennamen.fid--3213a59_187b3d87864_3ac9,5334002,1330,Guaitastraße
strassennamen.fid--3213a59_187b3d87864_3aca,5334002,1332,Habsburgerallee
strassennamen.fid--3213a59_187b3d87864_3acb,5334002,1334,Hackländerstraße
strassennamen.fid--3213a59_187b3d87864_3acc,5334002,1336,Händelstraße
strassennamen.fid--3213a59_187b3d87864_3acd,5334002,1338,Hainbuchenstraße
strassennamen.fid--3213a59_187b3d87864_3ace,5334002,1340,Hammerweg
strassennamen.fid--3213a59_187b3d87864_3acf,5334002,1342,Hanbrucher Straße
strassennamen.fid--3213a59_187b3d87864_3ad0,5334002,1343,Hanbrucher Weg
strassennamen.fid--3213a59_187b3d87864_3ad1,5334002,1345,Hangstraße
strassennamen.fid--3213a59_187b3d87864_3ad2,5334002,1347,Hansemannplatz
strassennamen.fid--3213a59_187b3d87864_3ad3,5334002,1349,Harscampstraße
strassennamen.fid--3213a59_187b3d87864_3ad4,5334002,1351,Hartmannstraße
strassennamen.fid--3213a59_187b3d87864_3ad5,5334002,1353,Haselsteig
strassennamen.fid--3213a59_187b3d87864_3ad6,5334002,1354,Hasencleverstraße
strassennamen.fid--3213a59_187b3d87864_3ad7,5334002,1355,Hasenfeld
strassennamen.fid--3213a59_187b3d87864_3ad8,5334002,1357,Hasselholzer Weg
strassennamen.fid--3213a59_187b3d87864_3ad9,5334002,1358,Hauseter Weg
strassennamen.fid--3213a59_187b3d87864_3ada,5334002,1360,Heerlener Straße
strassennamen.fid--3213a59_187b3d87864_3adb,5334002,1361,Heidweg
strassennamen.fid--3213a59_187b3d87864_3adc,5334002,1363,Spaakallee
strassennamen.fid--3213a59_187b3d87864_3add,5334002,1365,Hein-Görgen-Straße
strassennamen.fid--3213a59_187b3d87864_3ade,5334002,1366,Hein-Janssen-Straße
strassennamen.fid--3213a59_187b3d87864_3adf,5334002,1368,Heinzenstraße
strassennamen.fid--3213a59_187b3d87864_3ae0,5334002,1370,Heißbergstraße
strassennamen.fid--3213a59_187b3d87864_3ae1,5334002,1372,Henricistraße
strassennamen.fid--3213a59_187b3d87864_3ae2,5334002,1374,Herbartstraße
strassennamen.fid--3213a59_187b3d87864_3ae3,5334002,1375,Hergenrather Weg
strassennamen.fid--3213a59_187b3d87864_3ae4,5334002,1376,Hermann-Sudermann-Straße
strassennamen.fid--3213a59_187b3d87864_3ae5,5334002,1377,Hermann-Löns-Allee
strassennamen.fid--3213a59_187b3d87864_3ae6,5334002,1378,Hermannstraße
strassennamen.fid--3213a59_187b3d87864_3ae7,5334002,1379,Herstaler Straße
strassennamen.fid--3213a59_187b3d87864_3ae8,5334002,1380,Herzogstraße
strassennamen.fid--3213a59_187b3d87864_3ae9,5334002,1381,Hickelweg
strassennamen.fid--3213a59_187b3d87864_3aea,5334002,1383,Hirschgraben
strassennamen.fid--3213a59_187b3d87864_3aeb,5334002,1386,Hitfelder Straße
strassennamen.fid--3213a59_187b3d87864_3aec,5334002,1388,Höfchensweg
strassennamen.fid--3213a59_187b3d87864_3aed,5334002,1389,Höhenweg
strassennamen.fid--3213a59_187b3d87864_3aee,5334002,1390,Hörnhang
strassennamen.fid--3213a59_187b3d87864_3aef,5334002,1391,Hörnstieg
strassennamen.fid--3213a59_187b3d87864_3af0,5334002,1393,Hof
strassennamen.fid--3213a59_187b3d87864_3af1,5334002,1396,Hohenzollernplatz
strassennamen.fid--3213a59_187b3d87864_3af2,5334002,1398,Holsteinstraße
strassennamen.fid--3213a59_187b3d87864_3af3,5334002,1399,Holzgraben
strassennamen.fid--3213a59_187b3d87864_3af4,5334002,1401,Horngasse
strassennamen.fid--3213a59_187b3d87864_3af5,5334002,1403,Hubertusplatz
strassennamen.fid--3213a59_187b3d87864_3af6,5334002,1404,Hubertusstraße
strassennamen.fid--3213a59_187b3d87864_3af7,5334002,1406,Hühnermarkt
strassennamen.fid--3213a59_187b3d87864_3af8,5334002,1408,Hünefeldstraße
strassennamen.fid--3213a59_187b3d87864_3af9,5334002,1410,Hüttenstraße
strassennamen.fid--3213a59_187b3d87864_3afa,5334002,1412,Im Brockenfeld
strassennamen.fid--3213a59_187b3d87864_3afb,5334002,1415,Im Gillesbachtal
strassennamen.fid--3213a59_187b3d87864_3afc,5334002,1416,Im Grüntal
strassennamen.fid--3213a59_187b3d87864_3afd,5334002,1418,Im Johannistal
strassennamen.fid--3213a59_187b3d87864_3afe,5334002,1421,Im Mariental
strassennamen.fid--3213a59_187b3d87864_3aff,5334002,1422,Coudenhovestraße
strassennamen.fid--3213a59_187b3d87864_3b00,5334002,1423,In den Heimgärten
strassennamen.fid--3213a59_187b3d87864_3b01,5334002,1424,In den Küpperbenden
strassennamen.fid--3213a59_187b3d87864_3b02,5334002,1425,In den Zwanzigmorgen
strassennamen.fid--3213a59_187b3d87864_3b03,5334002,1426,Krantzstraße
strassennamen.fid--3213a59_187b3d87864_3b04,5334002,1428,Intzestraße
strassennamen.fid--3213a59_187b3d87864_3b05,5334002,1430,Jägerstraße
strassennamen.fid--3213a59_187b3d87864_3b06,5334002,1432,Jahnplatz
strassennamen.fid--3213a59_187b3d87864_3b07,5334002,1433,Jahnstraße
strassennamen.fid--3213a59_187b3d87864_3b08,5334002,1434,Jakobsplatz
strassennamen.fid--3213a59_187b3d87864_3b09,5334002,1437,Jean-Lejeune-Straße
strassennamen.fid--3213a59_187b3d87864_3b0a,5334002,1439,Jesuitenstraße
strassennamen.fid--3213a59_187b3d87864_3b0b,5334002,1440,Johannes-von-den-Driesch-Weg
strassennamen.fid--3213a59_187b3d87864_3b0c,5334002,1441,Johanniterstraße
strassennamen.fid--3213a59_187b3d87864_3b0d,5334002,1442,Johannstraße
strassennamen.fid--3213a59_187b3d87864_3b0e,5334002,1444,Drei-Rosen-Straße
strassennamen.fid--3213a59_187b3d87864_3b0f,5334002,1445,Noppiusstraße
strassennamen.fid--3213a59_187b3d87864_3b10,5334002,1447,Judengasse
strassennamen.fid--3213a59_187b3d87864_3b11,5334002,1449,Junkerstraße
strassennamen.fid--3213a59_187b3d87864_3b12,5334002,1450,Jupp-Müller-Straße
strassennamen.fid--3213a59_187b3d87864_3b13,5334002,1451,Juttastraße
strassennamen.fid--3213a59_187b3d87864_3b14,5334002,1453,Kaiser-Friedrich-Allee
strassennamen.fid--3213a59_187b3d87864_3b15,5334002,1455,Kaiserplatz
strassennamen.fid--3213a59_187b3d87864_3b16,5334002,1456,Goerdelerstraße
strassennamen.fid--3213a59_187b3d87864_3b17,5334002,1457,Kalverbenden
strassennamen.fid--3213a59_187b3d87864_3b18,5334002,1458,Kamper Straße
strassennamen.fid--3213a59_187b3d87864_3b19,5334002,1459,Kannegießerstraße
strassennamen.fid--3213a59_187b3d87864_3b1a,5334002,1460,Kantstraße
strassennamen.fid--3213a59_187b3d87864_3b1b,5334002,1461,Kapuzinergasse
strassennamen.fid--3213a59_187b3d87864_3b1c,5334002,1462,Kapellenstraße
strassennamen.fid--3213a59_187b3d87864_3b1d,5334002,1464,Kapitelstraße
strassennamen.fid--3213a59_187b3d87864_3b1e,5334002,1466,Kapuzinergraben
strassennamen.fid--3213a59_187b3d87864_3b1f,5334002,1468,Kardinalstraße
strassennamen.fid--3213a59_187b3d87864_3b20,5334002,1470,Karl-Marx-Allee
strassennamen.fid--3213a59_187b3d87864_3b21,5334002,1471,Karlsburgweg
strassennamen.fid--3213a59_187b3d87864_3b22,5334002,1472,Karlsgraben
